"id","value","liquid","light","update_time"
2582211,"0.00","125.49","0","00:00:00"
2582230,"0.00","125.71","0","00:01:00"
2582247,"0.00","126.78","0","00:02:00"
2582268,"0.00","127.98","0","00:03:00"
2582290,"0.00","126.92","0","00:04:00"
2582306,"0.00","127.21","0","00:05:00"
2582326,"0.00","128.33","0","00:06:00"
2582343,"0.00","128.35","0","00:07:00"
2582363,"0.00","127.71","0","00:08:00"
2582380,"0.00","128.00","0","00:09:00"
2582400,"0.00","127.47","0","00:10:00"
2582417,"0.00","127.69","0","00:11:00"
2582434,"0.00","127.80","0","00:12:00"
2582453,"0.00","128.16","0","00:13:00"
2582472,"0.00","125.48","0","00:14:00"
2582492,"0.00","127.91","0","00:15:00"
2582510,"0.00","128.42","0","00:16:00"
2582529,"0.00","126.19","0","00:17:00"
2582548,"0.00","128.93","0","00:18:00"
2582564,"0.00","127.59","0","00:19:00"
2582583,"0.00","128.77","0","00:20:00"
2582602,"0.00","127.38","0","00:21:00"
2582618,"0.00","128.28","0","00:22:00"
2582640,"0.00","128.84","0","00:23:00"
2582656,"0.00","128.52","0","00:24:00"
2582676,"0.00","128.68","0","00:25:00"
2582695,"0.00","129.81","0","00:26:00"
2582713,"0.00","128.86","0","00:27:00"
2582732,"0.00","128.83","0","00:28:00"
2582753,"0.00","130.60","0","00:29:00"
2582770,"0.00","129.50","0","00:30:00"
2582790,"0.00","129.37","0","00:31:00"
2582811,"0.00","129.28","0","00:32:00"
2582828,"0.00","128.04","0","00:33:00"
2582848,"0.00","128.68","0","00:34:00"
"-","-","-","0","00:35"
2582886,"0.00","129.98","0","00:36:00"
2582904,"0.00","129.30","0","00:37:00"
"-","-","-","0","00:38"
2582941,"0.00","129.55","0","00:39:00"
2582962,"0.00","129.37","0","00:40:00"
2582979,"0.00","129.64","0","00:41:00"
2582998,"0.00","131.16","0","00:42:00"
2583015,"0.00","130.07","0","00:43:00"
2583034,"0.00","129.22","0","00:44:00"
2583055,"0.00","130.72","0","00:45:00"
2583075,"0.00","129.52","0","00:46:00"
2583092,"0.00","130.85","0","00:47:00"
2583110,"0.00","128.94","0","00:48:00"
"-","-","-","0","00:49"
2583147,"0.00","130.26","0","00:50:00"
2583167,"0.00","130.26","0","00:51:00"
"-","-","-","0","00:52"
2583202,"0.00","130.52","0","00:53:00"
2583221,"0.00","129.17","0","00:54:00"
2583239,"0.00","128.86","0","00:55:00"
2583258,"0.00","127.48","0","00:56:00"
2583278,"0.00","129.68","0","00:57:00"
2583298,"0.00","127.82","0","00:58:00"
2583317,"0.00","129.19","0","00:59:00"
2583336,"0.00","130.15","0","01:00:00"
2583355,"0.00","132.02","0","01:01:00"
2583376,"0.00","131.75","0","01:02:00"
2583393,"0.00","130.89","0","01:03:00"
2583414,"0.00","134.03","0","01:04:00"
2583432,"0.00","131.27","0","01:05:00"
2583451,"0.00","129.65","0","01:06:00"
2583470,"0.00","129.30","0","01:07:00"
2583487,"0.00","130.03","0","01:08:00"
2583508,"0.00","128.86","0","01:09:00"
2583523,"0.00","131.35","0","01:10:00"
2583545,"0.00","130.58","0","01:11:00"
"-","-","-","0","01:12"
2583582,"0.00","130.64","0","01:13:00"
2583600,"0.00","129.48","0","01:14:00"
2583614,"0.00","129.68","0","01:15:00"
2583634,"0.00","129.99","0","01:16:00"
2583654,"0.00","131.50","0","01:17:00"
2583671,"0.00","130.71","0","01:18:00"
2583691,"0.00","130.26","0","01:19:00"
2583710,"0.00","130.94","0","01:20:00"
2583728,"0.00","130.45","0","01:21:00"
2583747,"0.00","127.87","0","01:22:00"
"-","-","-","0","01:23"
2583783,"0.00","127.83","0","01:24:00"
2583802,"0.00","127.58","0","01:25:00"
2583820,"0.00","129.18","0","01:26:00"
2583838,"0.00","119.59","0","01:27:00"
2583857,"0.00","130.16","0","01:28:00"
2583874,"0.00","128.96","0","01:29:00"
2583896,"0.00","126.61","0","01:30:00"
2583916,"0.00","127.58","0","01:31:00"
2583935,"0.00","128.05","0","01:32:00"
2583954,"0.00","129.79","0","01:33:00"
2583972,"0.00","129.12","0","01:34:00"
2583991,"0.00","129.08","0","01:35:00"
2584010,"0.00","128.74","0","01:36:00"
2584029,"0.00","130.25","0","01:37:00"
2584047,"0.00","127.34","0","01:38:00"
2584068,"0.00","127.79","0","01:39:00"
"-","-","-","0","01:40"
2584106,"0.00","127.56","0","01:41:00"
2584122,"0.00","128.53","0","01:42:00"
"-","-","-","0","01:43"
2584160,"0.00","129.26","0","01:44:00"
2584180,"0.00","127.23","0","01:45:00"
2584197,"0.00","128.55","0","01:46:00"
2584219,"0.00","127.41","-","01:47:00"
2584236,"0.00","128.08","0","01:48:00"
2584256,"0.00","130.59","0","01:49:00"
2584272,"0.00","128.40","0","01:50:00"
2584293,"0.00","128.64","0","01:51:00"
2584309,"0.00","129.31","0","01:52:00"
2584328,"0.00","128.02","0","01:53:00"
"-","-","-","0","01:54"
2584365,"0.00","128.47","0","01:55:00"
2584386,"0.00","129.79","0","01:56:00"
2584404,"0.00","127.73","0","01:57:00"
2584425,"0.00","128.29","0","01:58:00"
2584440,"0.00","127.66","0","01:59:00"
2584460,"0.00","129.94","0","02:00:00"
2584477,"0.00","127.82","0","02:01:00"
2584496,"0.00","127.57","0","02:02:00"
2584513,"0.00","127.87","0","02:03:00"
2584532,"0.00","128.99","0","02:04:00"
2584552,"0.00","128.51","0","02:05:00"
2584573,"0.00","130.11","0","02:06:00"
2584594,"0.00","129.12","0","02:07:00"
2584616,"0.00","128.44","0","02:08:00"
2584632,"0.00","127.67","0","02:09:00"
2584650,"0.00","128.38","0","02:10:00"
"-","-","-","0","02:11"
2584687,"0.00","127.25","0","02:12:00"
2584705,"0.00","127.76","0","02:13:00"
2584723,"0.00","128.23","0","02:14:00"
2584742,"0.00","129.10","0","02:15:00"
2584761,"0.00","129.32","0","02:16:00"
2584778,"0.00","129.13","0","02:17:00"
2584795,"0.00","129.43","0","02:18:00"
2584817,"0.00","129.59","0","02:19:00"
2584832,"0.00","129.57","0","02:20:00"
2584852,"0.00","128.11","0","02:21:00"
"-","-","-","0","02:22"
2584888,"0.00","126.45","0","02:23:00"
2584910,"0.00","130.38","0","02:24:00"
2584929,"0.00","127.96","0","02:25:00"
2584948,"0.00","129.06","0","02:26:00"
2584968,"0.00","131.00","0","02:27:00"
2584988,"0.00","129.35","0","02:28:00"
2585005,"0.00","130.69","0","02:29:00"
2585024,"0.00","130.72","0","02:30:00"
2585042,"0.00","129.60","0","02:31:00"
2585062,"0.00","130.46","0","02:32:00"
"-","-","-","0","02:33"
2585100,"0.00","130.74","0","02:34:00"
2585120,"0.00","129.73","0","02:35:00"
2585136,"0.00","131.38","0","02:36:00"
2585155,"0.00","130.09","0","02:37:00"
2585176,"0.00","131.75","0","02:38:00"
2585194,"0.00","133.04","0","02:39:00"
2585213,"0.00","133.52","0","02:40:00"
2585233,"0.00","132.45","0","02:41:00"
2585250,"0.00","130.80","0","02:42:00"
2585271,"0.00","132.16","0","02:43:00"
2585291,"0.00","131.78","0","02:44:00"
2585308,"0.00","132.00","0","02:45:00"
2585326,"0.00","132.46","0","02:46:00"
"-","-","-","0","02:47"
2585363,"0.00","130.09","0","02:48:00"
2585382,"0.00","131.27","0","02:49:00"
2585398,"0.00","130.35","0","02:50:00"
2585418,"0.00","129.46","0","02:51:00"
2585435,"0.00","132.94","0","02:52:00"
2585453,"0.00","130.07","0","02:53:00"
2585471,"0.00","129.72","0","02:54:00"
2585492,"0.00","130.42","0","02:55:00"
2585506,"0.00","130.55","0","02:56:00"
2585527,"0.00","130.54","0","02:57:00"
2585546,"0.00","132.36","0","02:58:00"
2585564,"0.00","130.23","0","02:59:00"
2585584,"0.00","129.98","0","03:00:00"
2585603,"0.00","130.61","0","03:01:00"
2585620,"0.00","130.56","0","03:02:00"
2585640,"0.00","131.95","0","03:03:00"
"-","-","-","0","03:04"
2585676,"0.00","129.93","0","03:05:00"
2585693,"0.00","129.84","0","03:06:00"
"-","-","-","0","03:07"
2585730,"0.00","131.54","0","03:08:00"
2585749,"0.00","131.42","0","03:09:00"
2585767,"0.00","132.45","0","03:10:00"
2585785,"0.00","132.54","0","03:11:00"
2585806,"0.00","133.63","0","03:12:00"
2585821,"0.00","133.10","0","03:13:00"
2585841,"0.00","133.62","0","03:14:00"
2585860,"0.00","133.80","0","03:15:00"
2585877,"0.00","132.88","0","03:16:00"
2585896,"0.00","132.57","0","03:17:00"
"-","-","-","0","03:18"
2585933,"0.00","134.62","0","03:19:00"
2585950,"0.00","134.31","0","03:20:00"
"-","-","-","0","03:21"
2585985,"0.00","133.85","0","03:22:00"
2586005,"0.00","134.23","0","03:23:00"
2586023,"0.00","135.08","0","03:24:00"
2586042,"0.00","133.90","0","03:25:00"
2586061,"0.00","134.03","0","03:26:00"
2586082,"0.00","134.06","0","03:27:00"
2586100,"0.00","134.31","0","03:28:00"
2586121,"0.00","134.16","0","03:29:00"
2586138,"0.00","134.01","0","03:30:00"
2586157,"0.00","136.07","0","03:31:00"
2586176,"0.00","134.12","0","03:32:00"
2586193,"0.00","133.22","0","03:33:00"
2586211,"0.00","133.61","0","03:34:00"
2586232,"0.00","134.11","0","03:35:00"
2586249,"0.00","134.12","0","03:36:00"
2586268,"0.00","134.06","0","03:37:00"
"-","-","-","0","03:38"
2586304,"0.00","134.50","0","03:39:00"
2586324,"0.00","136.11","0","03:40:00"
"-","-","-","0","03:41"
2586359,"0.00","136.46","0","03:42:00"
2586377,"0.00","135.86","0","03:43:00"
"-","-","-","0","03:44"
2586413,"0.00","135.02","0","03:45:00"
2586433,"0.00","135.41","0","03:46:00"
2586449,"0.00","133.43","0","03:47:00"
2586468,"0.00","134.30","0","03:48:00"
2586487,"0.00","134.15","0","03:49:00"
2586502,"0.00","134.65","0","03:50:00"
2586522,"0.00","134.34","0","03:51:00"
2586541,"0.00","133.19","0","03:52:00"
2586563,"0.00","133.14","0","03:53:00"
2586584,"0.00","133.00","0","03:54:00"
2586601,"0.00","133.76","0","03:55:00"
2586619,"0.00","131.64","0","03:56:00"
