"id","value","liquid","light","update_time"
"-","-","-","0","00:00"
"-","-","-","0","00:01"
2582250,"-0.01","-9.56","0","00:02:00"
2582269,"-0.01","-10.39","0","00:03:00"
2582288,"-0.01","-10.74","0","00:04:00"
2582307,"0.14","-10.42","0","00:05:00"
2582324,"-0.01","-11.46","0","00:06:00"
"-","-","-","0","00:07"
"-","-","-","0","00:08"
"-","-","-","0","00:09"
"-","-","-","0","00:10"
2582419,"0.01","-9.91","0","00:11:00"
2582435,"4.84","-9.91","0","00:12:00"
2582455,"-0.01","-9.33","0","00:13:00"
2582471,"-0.01","-9.62","0","00:14:00"
2582490,"-0.01","-8.73","0","00:15:00"
"-","-","-","0","00:16"
"-","-","-","0","00:17"
"-","-","-","0","00:18"
"-","-","-","0","00:19"
2582585,"-0.00","-7.77","0","00:20:00"
2582601,"17439.08","-7.47","0","00:21:00"
2582619,"0.14","-7.38","0","00:22:00"
2582637,"0.14","-8.71","0","00:23:00"
2582657,"-0.01","-9.50","0","00:24:00"
"-","-","-","0","00:25"
"-","-","-","0","00:26"
"-","-","-","0","00:27"
"-","-","-","0","00:28"
2582754,"-0.00","-8.46","0","00:29:00"
2582772,"1242.86","-8.10","0","00:30:00"
2582791,"0.29","-6.87","0","00:31:00"
2582810,"1223.46","-9.11","0","00:32:00"
2582829,"0.01","-9.35","0","00:33:00"
"-","-","-","0","00:34"
"-","-","-","0","00:35"
"-","-","-","0","00:36"
"-","-","-","0","00:37"
2582923,"-0.00","-7.28","0","00:38:00"
2582942,"0.06","-8.62","0","00:39:00"
2582961,"0.01","-8.28","0","00:40:00"
2582981,"-0.01","-7.38","0","00:41:00"
2582996,"-37.63","-8.30","0","00:42:00"
"-","-","-","0","00:43"
"-","-","-","0","00:44"
"-","-","-","0","00:45"
"-","-","-","0","00:46"
2583094,"0.14","-9.18","0","00:47:00"
2583111,"-611.73","-11.90","0","00:48:00"
2583129,"1126.94","-12.63","0","00:49:00"
2583148,"9942.99","-11.07","0","00:50:00"
2583164,"-0.01","-10.66","0","00:51:00"
"-","-","-","0","00:52"
"-","-","-","0","00:53"
"-","-","-","0","00:54"
"-","-","-","0","00:55"
2583260,"0.01","-12.02","0","00:56:00"
2583277,"0.14","-13.97","0","00:57:00"
2583299,"19264.57","-13.87","0","00:58:00"
2583316,"-0.00","-12.29","0","00:59:00"
2583334,"0.14","-11.01","0","01:00:00"
"-","-","-","0","01:01"
"-","-","-","0","01:02"
"-","-","-","0","01:03"
"-","-","-","0","01:04"
2583433,"9.70","-13.03","0","01:05:00"
2583450,"-0.01","-12.09","0","01:06:00"
2583471,"0.14","-12.31","0","01:07:00"
