"id","value","liquid","light","update_time"
2188582,"0.00","60.52","0","00:00:00"
2188602,"0.00","60.19","0","00:01:00"
"-","-","-","0","00:02"
2188637,"0.00","61.05","0","00:03:00"
2188653,"0.00","60.27","0","00:04:00"
"-","-","-","0","00:05"
2188683,"0.00","60.47","0","00:06:00"
2188701,"0.00","61.31","0","00:07:00"
2188722,"0.00","61.38","0","00:08:00"
2188743,"0.00","61.64","0","00:09:00"
2188767,"0.00","61.66","0","00:10:00"
2188787,"0.00","61.85","0","00:11:00"
2188807,"0.00","61.74","0","00:12:00"
2188828,"0.00","62.34","0","00:13:00"
2188845,"0.00","62.07","0","00:14:00"
2188866,"0.00","62.26","0","00:15:00"
2188887,"0.00","61.87","0","00:16:00"
2188908,"0.00","61.59","0","00:17:00"
2188931,"0.00","62.13","0","00:18:00"
2188952,"0.00","61.29","0","00:19:00"
2188973,"0.00","61.06","0","00:20:00"
2188994,"0.00","60.78","0","00:21:00"
2189017,"0.00","60.80","0","00:22:00"
2189039,"0.00","61.80","0","00:23:00"
2189063,"0.00","61.28","0","00:24:00"
"-","-","-","0","00:25"
2189106,"0.00","60.83","0","00:26:00"
2189126,"0.00","61.31","0","00:27:00"
"-","-","-","0","00:28"
2189164,"0.00","61.98","0","00:29:00"
2189178,"0.00","61.71","0","00:30:00"
"-","-","-","0","00:31"
2189212,"0.00","61.47","0","00:32:00"
2189232,"0.00","61.74","0","00:33:00"
2189252,"0.00","61.07","0","00:34:00"
2189273,"0.00","61.89","0","00:35:00"
2189297,"0.00","61.71","0","00:36:00"
2189316,"0.00","62.51","0","00:37:00"
2189340,"0.00","61.35","0","00:38:00"
2189359,"0.00","60.56","0","00:39:00"
2189374,"0.00","61.16","0","00:40:00"
2189388,"0.00","61.53","0","00:41:00"
2189405,"0.00","61.36","0","00:42:00"
2189419,"0.00","61.71","0","00:43:00"
2189438,"0.00","61.89","0","00:44:00"
2189456,"0.00","59.88","0","00:45:00"
2189478,"0.00","58.66","0","00:46:00"
2189502,"0.00","59.37","0","00:47:00"
2189521,"0.00","58.75","0","00:48:00"
2189543,"0.00","59.05","0","00:49:00"
"-","-","-","0","00:50"
2189584,"0.00","58.82","0","00:51:00"
2189606,"0.00","59.64","0","00:52:00"
2189621,"0.00","60.18","0","00:53:00"
2189642,"0.00","59.94","0","00:54:00"
2189658,"0.00","60.14","0","00:55:00"
2189674,"0.00","60.21","0","00:56:00"
2189693,"0.00","60.90","0","00:57:00"
2189712,"0.00","60.79","0","00:58:00"
2189732,"0.00","59.79","0","00:59:00"
2189754,"0.00","60.32","0","01:00:00"
2189776,"0.00","60.51","0","01:01:00"
2189794,"0.00","60.92","0","01:02:00"
2189817,"0.00","62.00","0","01:03:00"
2189839,"0.00","60.12","0","01:04:00"
2189858,"0.00","61.62","0","01:05:00"
2189882,"0.00","61.30","0","01:06:00"
"-","-","-","0","01:07"
2189918,"0.00","61.68","0","01:08:00"
2189933,"0.00","61.47","0","01:09:00"
2189947,"0.00","61.85","0","01:10:00"
2189964,"0.00","62.08","0","01:11:00"
2189983,"0.00","61.24","0","01:12:00"
2190001,"0.00","61.27","0","01:13:00"
2190023,"0.00","61.47","0","01:14:00"
2190044,"0.00","61.33","0","01:15:00"
2190063,"0.00","61.71","0","01:16:00"
2190085,"0.00","61.48","0","01:17:00"
2190106,"0.00","62.32","0","01:18:00"
2190125,"0.00","62.59","0","01:19:00"
2190147,"0.00","61.77","0","01:20:00"
2190168,"0.00","62.70","0","01:21:00"
2190189,"0.00","62.20","0","01:22:00"
2190211,"0.00","63.70","0","01:23:00"
