"id","value","liquid","light","update_time"
2247540,"15158.31","109.08","0","00:00:00"
"-","-","-","0","00:01"
2247588,"15163.78","100.89","0","00:02:00"
"-","-","-","0","00:03"
2247632,"15155.28","146.58","0","00:04:00"
"-","-","-","0","00:05"
2247681,"15159.94","136.72","0","00:06:00"
2247706,"15166.31","140.84","0","00:07:00"
"-","-","-","0","00:08"
"-","-","-","0","00:09"
2247772,"15156.60","132.19","0","00:10:00"
2247795,"15157.50","126.02","0","00:11:00"
2247820,"15158.00","145.97","0","00:12:00"
2247844,"15162.05","152.18","0","00:13:00"
2247864,"15164.39","221.34","0","00:14:00"
2247891,"15156.87","191.02","0","00:15:00"
2247915,"15174.00","191.35","0","00:16:00"
2247937,"15165.24","155.42","0","00:17:00"
"-","-","-","0","00:18"
2247981,"15152.91","183.78","0","00:19:00"
"-","-","-","0","00:20"
2248023,"15150.41","176.11","0","00:21:00"
2248043,"15157.80","193.21","0","00:22:00"
2248068,"15165.83","211.91","0","00:23:00"
"-","-","-","0","00:24"
2248117,"15160.77","179.70","0","00:25:00"
2248140,"15158.83","172.15","0","00:26:00"
"-","-","-","0","00:27"
"-","-","-","0","00:28"
"-","-","-","0","00:29"
2248224,"15157.97","154.14","0","00:30:00"
2248247,"15153.98","204.06","0","00:31:00"
2248273,"15163.29","195.81","0","00:32:00"
"-","-","-","0","00:33"
2248324,"15154.76","162.74","0","00:34:00"
"-","-","-","0","00:35"
2248370,"15162.28","158.24","0","00:36:00"
"-","-","-","0","00:37"
2248414,"15160.99","133.85","0","00:38:00"
"-","-","-","0","00:39"
2248459,"15160.85","130.44","0","00:40:00"
2248478,"15170.47","174.91","0","00:41:00"
2248502,"15156.22","125.40","0","00:42:00"
2248522,"15155.46","116.18","0","00:43:00"
2248546,"15170.44","154.35","0","00:44:00"
"-","-","-","0","00:45"
2248591,"15171.29","130.44","0","00:46:00"
2248614,"15155.84","150.94","0","00:47:00"
2248639,"15169.79","173.58","0","00:48:00"
2248663,"15157.97","155.09","0","00:49:00"
2248688,"15156.46","143.58","0","00:50:00"
2248711,"15160.50","94.27","0","00:51:00"
2248735,"15160.14","160.10","0","00:52:00"
2248758,"15164.99","118.65","0","00:53:00"
2248783,"15156.41","138.65","0","00:54:00"
2248805,"15163.64","130.48","0","00:55:00"
2248831,"15181.98","126.34","0","00:56:00"
2248854,"15166.17","133.22","0","00:57:00"
2248879,"15166.08","156.93","0","00:58:00"
2248902,"15169.08","206.60","0","00:59:00"
"-","-","-","0","01:00"
2248947,"15169.09","177.99","0","01:01:00"
2248969,"15173.40","170.36","0","01:02:00"
"-","-","-","0","01:03"
2249013,"15157.01","104.58","0","01:04:00"
2249037,"15165.63","136.53","0","01:05:00"
2249061,"15160.43","138.53","0","01:06:00"
2249087,"15148.32","95.23","0","01:07:00"
2249108,"15155.97","105.17","0","01:08:00"
2249131,"15164.58","56.26","0","01:09:00"
"-","-","-","0","01:10"
2249178,"15158.89","55.96","0","01:11:00"
"-","-","-","0","01:12"
2249227,"15173.70","84.18","0","01:13:00"
"-","-","-","0","01:14"
2249273,"15143.25","89.32","0","01:15:00"
2249296,"15159.86","156.50","0","01:16:00"
"-","-","-","0","01:17"
"-","-","-","0","01:18"
2249359,"15166.81","171.60","0","01:19:00"
2249379,"15171.38","213.44","0","01:20:00"
2249400,"15162.37","143.49","0","01:21:00"
2249425,"15160.59","153.41","0","01:22:00"
2249449,"15146.76","153.90","0","01:23:00"
"-","-","-","0","01:24"
"-","-","-","0","01:25"
2249516,"15155.92","138.58","0","01:26:00"
2249540,"15157.36","168.48","0","01:27:00"
2249566,"15141.86","203.65","0","01:28:00"
2249588,"15159.44","170.45","0","01:29:00"
"-","-","-","0","01:30"
"-","-","-","0","01:31"
2249655,"15157.21","142.84","0","01:32:00"
2249679,"15159.74","121.05","0","01:33:00"
2249705,"15152.23","123.65","0","01:34:00"
2249729,"15159.60","167.68","0","01:35:00"
"-","-","-","0","01:36"
"-","-","-","0","01:37"
2249791,"15157.83","124.09","0","01:38:00"
"-","-","-","0","01:39"
2249837,"15171.93","214.85","0","01:40:00"
2249861,"15158.08","142.70","0","01:41:00"
2249885,"15168.84","131.82","0","01:42:00"
"-","-","-","0","01:43"
2249925,"15177.90","184.63","0","01:44:00"
2249951,"15163.92","122.32","0","01:45:00"
2249972,"15143.71","166.11","0","01:46:00"
2249995,"15154.80","148.51","0","01:47:00"
"-","-","-","0","01:48"
"-","-","-","0","01:49"
2250060,"15162.35","140.29","0","01:50:00"
"-","-","-","0","01:51"
2250109,"15154.64","106.21","0","01:52:00"
2250132,"15159.97","153.23","0","01:53:00"
"-","-","-","0","01:54"
"-","-","-","0","01:55"
"-","-","-","0","01:56"
"-","-","-","0","01:57"
"-","-","-","0","01:58"
2250261,"15167.80","114.88","0","01:59:00"
2250283,"15151.69","66.65","0","02:00:00"
"-","-","-","0","02:01"
2250334,"15151.09","97.39","0","02:02:00"
2250354,"15158.93","77.86","0","02:03:00"
2250378,"15149.95","109.45","0","02:04:00"
2250400,"15148.91","116.98","0","02:05:00"
"-","-","-","0","02:06"
2250446,"15151.25","135.42","0","02:07:00"
2250470,"15147.11","130.49","0","02:08:00"
2250493,"15164.13","105.71","0","02:09:00"
2250516,"15160.24","107.24","0","02:10:00"
2250540,"15165.13","172.45","0","02:11:00"
"-","-","-","0","02:12"
"-","-","-","0","02:13"
"-","-","-","0","02:14"
2250629,"15156.10","173.26","0","02:15:00"
"-","-","-","0","02:16"
"-","-","-","0","02:17"
2250692,"15146.46","180.81","0","02:18:00"
2250716,"15144.96","101.17","0","02:19:00"
2250740,"15150.84","130.74","0","02:20:00"
2250764,"15145.22","127.44","0","02:21:00"
"-","-","-","0","02:22"
"-","-","-","0","02:23"
2250830,"15151.69","166.30","0","02:24:00"
"-","-","-","0","02:25"
2250876,"15154.20","96.99","0","02:26:00"
2250900,"15125.09","118.59","0","02:27:00"
2250922,"15162.79","199.77","0","02:28:00"
2250948,"15123.09","99.12","0","02:29:00"
2250973,"15158.55","142.41","0","02:30:00"
2250996,"15147.55","134.03","0","02:31:00"
"-","-","-","0","02:32"
