"id","value","liquid","light","update_time"
"-","-","-","0","00:00"
2388025,"0.00","246.98","0","00:01:00"
2388044,"0.00","246.67","0","00:02:00"
2388063,"0.00","246.43","0","00:03:00"
2388083,"0.00","247.01","0","00:04:00"
2388099,"0.00","246.01","0","00:05:00"
2388117,"0.00","245.12","0","00:06:00"
2388138,"0.00","244.95","0","00:07:00"
2388157,"0.00","246.51","0","00:08:00"
2388174,"0.00","246.90","0","00:09:00"
2388195,"0.00","246.43","0","00:10:00"
2388215,"0.00","246.67","0","00:11:00"
2388233,"0.00","246.43","0","00:12:00"
2388250,"0.00","246.56","0","00:13:00"
2388270,"0.00","245.48","0","00:14:00"
2388288,"0.00","246.83","0","00:15:00"
2388303,"0.00","246.93","0","00:16:00"
2388323,"0.00","246.26","0","00:17:00"
2388341,"0.00","246.01","0","00:18:00"
2388361,"0.00","247.33","0","00:19:00"
2388381,"0.00","247.16","0","00:20:00"
2388399,"0.00","246.33","0","00:21:00"
2388419,"0.00","247.97","0","00:22:00"
2388437,"0.00","247.80","0","00:23:00"
2388454,"0.00","247.26","0","00:24:00"
2388475,"0.00","248.05","0","00:25:00"
2388495,"0.00","246.74","0","00:26:00"
2388512,"0.00","246.32","0","00:27:00"
2388532,"0.00","247.26","0","00:28:00"
2388553,"0.00","246.50","0","00:29:00"
2388570,"0.00","246.89","0","00:30:00"
2388589,"0.00","248.04","0","00:31:00"
"-","-","-","0","00:32"
2388624,"0.00","248.22","0","00:33:00"
2388644,"0.00","248.08","0","00:34:00"
2388663,"0.00","248.06","0","00:35:00"
2388683,"0.00","248.00","0","00:36:00"
2388705,"0.00","248.35","0","00:37:00"
2388722,"0.00","248.69","0","00:38:00"
2388740,"0.00","248.19","0","00:39:00"
2388758,"0.00","248.74","0","00:40:00"
2388776,"0.00","249.45","0","00:41:00"
2388794,"0.00","249.85","0","00:42:00"
2388812,"0.00","249.72","0","00:43:00"
2388833,"0.00","248.18","0","00:44:00"
2388851,"0.00","247.64","0","00:45:00"
2388869,"0.00","246.54","0","00:46:00"
2388889,"0.00","247.59","0","00:47:00"
2388909,"0.00","248.41","0","00:48:00"
2388924,"0.00","249.75","0","00:49:00"
2388944,"0.00","249.41","0","00:50:00"
2388963,"0.00","248.92","0","00:51:00"
2388981,"0.00","250.00","0","00:52:00"
2389000,"0.00","249.37","0","00:53:00"
2389021,"0.00","248.07","0","00:54:00"
2389038,"0.00","249.19","0","00:55:00"
2389058,"0.00","248.33","0","00:56:00"
2389078,"0.00","249.19","0","00:57:00"
2389095,"0.00","248.84","0","00:58:00"
2389114,"0.00","249.55","0","00:59:00"
2389135,"0.00","250.10","0","01:00:00"
2389153,"0.00","250.53","0","01:01:00"
2389173,"0.00","249.15","0","01:02:00"
2389190,"0.00","250.36","0","01:03:00"
2389208,"0.00","249.46","0","01:04:00"
2389227,"0.00","250.05","0","01:05:00"
2389244,"0.00","250.39","0","01:06:00"
2389264,"0.00","250.14","0","01:07:00"
2389281,"0.00","251.20","0","01:08:00"
2389301,"0.00","250.62","0","01:09:00"
2389321,"0.00","249.63","0","01:10:00"
"-","-","-","0","01:11"
2389359,"0.00","251.71","0","01:12:00"
2389378,"0.00","251.18","0","01:13:00"
"-","-","-","0","01:14"
2389414,"0.00","250.92","0","01:15:00"
2389432,"0.00","250.33","0","01:16:00"
"-","-","-","0","01:17"
2389470,"0.00","250.37","0","01:18:00"
2389490,"0.00","250.60","0","01:19:00"
2389505,"0.00","250.44","0","01:20:00"
2389524,"0.00","249.86","0","01:21:00"
2389543,"0.00","251.02","0","01:22:00"
2389558,"0.00","252.27","0","01:23:00"
2389579,"0.00","248.33","0","01:24:00"
2389598,"0.00","248.08","0","01:25:00"
2389614,"0.00","248.41","0","01:26:00"
2389634,"0.00","246.27","0","01:27:00"
2389653,"0.00","249.33","0","01:28:00"
2389670,"0.00","248.44","0","01:29:00"
2389690,"0.00","248.30","0","01:30:00"
2389708,"0.00","248.39","0","01:31:00"
2389727,"0.00","248.75","0","01:32:00"
2389746,"0.00","249.09","0","01:33:00"
2389765,"0.00","249.06","0","01:34:00"
2389785,"0.00","248.72","0","01:35:00"
2389804,"0.00","249.80","0","01:36:00"
2389822,"0.00","249.36","0","01:37:00"
2389837,"0.00","249.55","0","01:38:00"
"-","-","-","0","01:39"
2389873,"0.00","250.31","0","01:40:00"
"-","-","-","0","01:41"
2389911,"0.00","249.92","0","01:42:00"
2389932,"0.00","249.46","0","01:43:00"
2389950,"0.00","249.54","0","01:44:00"
2389971,"0.00","249.14","0","01:45:00"
2389987,"0.00","248.57","0","01:46:00"
2390002,"0.00","249.87","0","01:47:00"
2390023,"0.00","249.11","0","01:48:00"
2390040,"0.00","249.96","0","01:49:00"
2390061,"0.00","249.91","0","01:50:00"
2390078,"0.00","249.32","0","01:51:00"
2390095,"0.00","250.15","0","01:52:00"
2390115,"0.00","250.56","-","01:53:00"
2390135,"0.00","251.56","0","01:54:00"
2390152,"0.00","250.38","0","01:55:00"
2390169,"0.00","249.52","0","01:56:00"
2390190,"0.00","248.90","0","01:57:00"
2390206,"0.00","249.39","0","01:58:00"
2390224,"0.00","248.93","0","01:59:00"
"-","-","-","0","02:00"
2390260,"0.00","249.98","0","02:01:00"
2390278,"0.00","249.43","0","02:02:00"
2390297,"0.00","249.77","0","02:03:00"
2390315,"0.00","248.83","0","02:04:00"
2390335,"0.00","248.84","0","02:05:00"
2390352,"0.00","249.92","0","02:06:00"
2390371,"0.00","249.36","0","02:07:00"
2390389,"0.00","250.38","0","02:08:00"
2390405,"0.00","249.69","0","02:09:00"
2390424,"0.00","250.42","0","02:10:00"
2390443,"0.00","249.30","0","02:11:00"
2390462,"0.00","249.26","0","02:12:00"
2390481,"0.00","249.66","0","02:13:00"
2390500,"0.00","249.67","0","02:14:00"
2390516,"0.00","249.16","0","02:15:00"
2390537,"0.00","249.39","0","02:16:00"
2390554,"0.00","250.34","0","02:17:00"
2390574,"0.00","248.79","0","02:18:00"
2390596,"0.00","249.97","0","02:19:00"
2390612,"0.00","249.10","0","02:20:00"
2390632,"0.00","248.52","0","02:21:00"
