"id","temperature","humidity","light","co2","ec","ph","wet_temp","dew","hd","vpd","update_time"
995337,"18.43","85.55","0","516.000","1.130","8.610",16.863327026367188,15.964763413575087,2.2755985983076403,0.30620935064714166,"00:00:00.000000"
995347,"18.38","85.48","0","516.000","1.100","8.650",16.807785034179688,15.903136981445208,2.279824052894785,0.30671471892533686,"00:01:00.000000"
995357,"18.38","85.54","0","519.000","1.100","8.610",16.81446075439453,15.914091047316385,2.270403292345632,0.30544956394415407,"00:02:00.000000"
995367,"18.37","85.40","0","516.000","1.170","8.650",16.789093017578125,15.878355459732187,2.29102015035968,0.3082195651191938,"00:03:00.000000"
995377,"18.35","85.45","0","515.000","1.060","8.650",16.77560806274414,15.868031750181952,2.280455912205001,0.3067832270309033,"00:04:00.000000"
995387,"18.35","85.47","0","514.000","1.210","8.610",16.777877807617188,15.871759604991508,2.2773212649030015,0.3063536097812921,"00:05:00.000000"
995397,"18.36","85.53","0","519.000","1.100","8.610",16.794166564941406,15.892593716192447,2.2692686239387516,0.3052771123601854,"00:06:00.000000"
995407,"18.32","85.60","0","515.000","1.170","8.610",16.763591766357422,15.866040515834055,2.252916127365122,0.3030384791253713,"00:07:00.000000"
995417,"18.27","85.87","0","515.000","1.140","8.650",16.745567321777344,15.866026037543495,2.204097582954743,0.2964577963113289,"00:08:00.000000"
995427,"18.24","86.16","0","515.000","1.100","8.650",16.749038696289062,15.889450517496083,2.155004849547776,0.28980033046992765,"00:09:00.000000"
995437,"18.26","86.33","0","515.000","1.100","8.650",16.786956787109375,15.939757103885425,2.1310731315705134,0.28662522595852913,"00:10:00.000000"
995447,"18.28","86.28","0","514.000","1.140","8.650",16.800708770751953,15.950486072399421,2.1414186030307825,0.287996807067724,"00:11:00.000000"
995457,"18.27","86.38","0","515.000","1.170","8.650",16.80217742919922,15.958774348033762,2.124544167009457,0.285743411004988,"00:12:00.000000"
995467,"18.24","86.49","0","515.000","1.140","8.680",16.785621643066406,15.94934976304943,2.1036210633952646,0.2828779846834504,"00:13:00.000000"
995477,"18.21","86.59","0","514.000","1.210","8.610",16.767730712890625,15.937752102457212,2.0843196258087353,0.28026993671164036,"00:14:00.000000"
995487,"18.18","86.64","0","518.000","1.140","8.610",16.74449920654297,15.917428312157137,2.0728374651326718,0.2787027488366814,"00:15:00.000000"
995497,"18.18","86.64","0","520.000","1.100","8.680",16.74449920654297,15.917428312157137,2.0728374651326718,0.2787027488366814,"00:16:00.000000"
995507,"18.16","86.69","0","518.000","1.180","8.610",16.73074722290039,15.906724032119945,2.0626186690271346,0.27731381549184597,"00:17:00.000000"
995517,"18.14","86.68","0","514.000","1.100","8.650",16.710453033447266,15.885315599441823,2.061707993546687,0.2771620808799238,"00:18:00.000000"
995527,"18.13","86.76","0","516.000","1.100","8.650",16.709651947021484,15.889911247348312,2.0481035696750087,0.2753217224868386,"00:19:00.000000"
995537,"18.14","86.82","0","511.000","0.000","8.650",16.725807189941406,15.9104420258612,2.0400383900109134,0.2742618206558067,"00:20:00.000000"
995547,"18.06","86.77","0","512.000","1.100","8.650",16.643428802490234,15.822869540654075,2.0380290840312476,0.2739174041268718,"00:21:00.000000"
995557,"18.06","86.85","0","513.000","1.100","8.710",16.652240753173828,15.837308355799024,2.0257054009834405,0.27225712260585483,"00:22:00.000000"
995567,"18.08","86.94","0","517.000","1.140","8.650",16.681346893310547,15.873130720092016,2.014243140772992,0.27071669008536253,"00:23:00.000000"
995577,"18.10","87.05","0","516.000","1.100","8.650",16.712722778320312,15.912641653207885,1.9996620847699997,0.26877125409243446,"00:24:00.000000"
995587,"18.12","87.06","0","516.000","1.180","8.680",16.733016967773438,15.934020496196409,2.000502927220353,0.2689168220790858,"00:25:00.000000"
995597,"18.13","87.00","0","513.000","1.140","8.680",16.73595428466797,15.93292866440576,2.010977825209599,0.2703525815272073,"00:26:00.000000"
995607,"18.13","87.00","0","514.000","1.100","8.710",16.73595428466797,15.93292866440576,2.010977825209599,0.2703525815272073,"00:27:00.000000"
995617,"18.14","86.90","0","514.000","1.100","8.710",16.734619140625,15.924852753365657,2.0276557594190407,0.2725965881518736,"00:28:00.000000"
995627,"18.17","86.93","0","515.000","1.110","8.680",16.766929626464844,15.959990723259216,2.0266345152065774,0.2724389124500114,"00:29:00.000000"
995637,"18.17","86.77","0","513.000","1.140","8.710",16.749305725097656,15.931185484427624,2.051444119065266,0.2757727364515631,"00:30:00.000000"
995647,"18.18","86.74","0","512.000","1.140","8.680",16.755447387695312,15.93533640015302,2.0573222146451524,0.27663236206835895,"00:31:00.000000"
995657,"18.16","86.85","0","512.000","1.140","8.750",16.748504638671875,15.935767711553197,2.0378238540726414,0.27395699199640544,"00:32:00.000000"
995667,"18.18","86.85","0","512.000","1.140","8.680",16.767730712890625,15.955415485998374,2.040255439108881,0.2743085022601406,"00:33:00.000000"
995677,"18.20","86.80","0","515.000","1.140","8.680",16.781349182128906,15.9659020462555,2.050456541760001,0.27572217496647794,"00:35:00.000000"
995687,"18.20","86.97","0","514.000","1.180","8.680",16.80004119873047,15.996428006771206,2.024049146904,0.27218212876019904,"00:36:00.000000"
995697,"18.20","87.02","0","516.000","1.140","8.710",16.805648803710938,16.00557965915474,2.0162822660640014,0.2711196427932478,"00:37:00.000000"
995707,"18.19","87.05","0","518.000","1.180","8.750",16.799240112304688,16.000991393194486,2.0104232131230777,0.27031122142274205,"00:38:00.000000"
995717,"18.20","87.02","0","515.000","1.140","8.750",16.805648803710938,16.00557965915474,2.0162822660640014,0.2711196427932478,"00:39:00.000000"
995727,"18.20","87.02","0","515.000","1.110","8.750",16.805648803710938,16.00557965915474,2.0162822660640014,0.2711196427932478,"00:40:00.000000"
