"id","temperature","humidity","light","co2","ec","ph","update_time"
545590,"24.47","89.13",0,"1087","0.00","6.41","01:43"
545594,"24.44","89.23",0,"1088","0.00","6.44","01:44"
545598,"24.43","89.34",0,"1091","0.00","6.41","01:45"
545602,"24.42","89.37",0,"1092","0.00","6.44","01:46"
545606,"24.44","89.37",0,"1093","0.00","6.41","01:47"
545610,"24.45","89.32",0,"1096","0.00","6.44","01:48"
545614,"24.45","89.35",0,"1098","0.00","6.44","01:49"
545618,"24.46","89.41",0,"1101","0.00","6.41","01:50"
545622,"24.45","89.38",0,"1104","0.00","6.41","01:51"
545626,"24.45","89.43",0,"1105","0.00","6.44","01:52"
545630,"24.44","89.37",0,"1107","0.00","6.41","01:53"
545634,"24.42","89.42",0,"1106","0.00","6.41","01:54"
545638,"24.42","89.48",0,"1105","0.00","6.41","01:55"
545642,"24.39","89.53",0,"1104","0.00","6.44","01:56"
545646,"24.36","89.57",0,"1104","0.00","6.44","01:57"
545650,"24.34","89.68",0,"1106","0.00","6.44","01:58"
545654,"24.34","89.73",0,"1105","0.00","6.44","01:59"
545658,"24.29","89.83",0,"1105","0.00","6.44","02:01"
545662,"24.26","89.96",0,"1104","0.00","6.44","02:01"
545666,"24.22","90.06",0,"1101","0.00","6.44","02:03"
545670,"24.20","90.22",0,"1104","0.00","6.44","02:04"
545674,"24.16","90.32",0,"1106","0.00","6.44","02:05"
545678,"24.18","90.36",0,"1111","0.00","6.44","02:06"
545682,"24.17","90.38",0,"1114","0.00","6.41","02:07"
545686,"24.17","90.44",0,"1115","0.00","6.44","02:08"
545690,"24.18","90.47",0,"1116","0.00","6.44","02:09"
545694,"24.19","90.41",0,"1118","0.00","6.44","02:10"
545698,"24.20","90.44",0,"1119","0.00","6.44","02:11"
545702,"24.22","90.42",0,"1119","0.00","6.44","02:12"
545706,"24.24","90.42",0,"1121","0.00","6.44","02:13"
545710,"24.23","90.42",0,"1123","0.00","6.44","02:14"
545714,"24.25","90.43",0,"1126","0.00","6.44","02:15"
545718,"24.25","90.43",0,"1126","0.00","6.44","02:16"
545722,"24.24","90.53",0,"1128","0.00","6.44","02:17"
545726,"24.20","90.52",0,"1128","0.00","6.44","02:18"
545730,"24.22","90.69",0,"1128","0.00","6.44","02:19"
545734,"24.16","90.84",0,"1128","0.00","6.44","02:20"
545738,"24.16","90.95",0,"1126","0.00","6.44","02:21"
545742,"24.14","91.06",0,"1126","0.00","6.44","02:22"
545746,"24.12","91.16",0,"1126","0.00","6.44","02:23"
545750,"24.13","91.30",0,"1128","0.00","6.44","02:24"
545754,"24.09","91.37",0,"1128","0.00","6.44","02:25"
545758,"24.12","91.46",0,"1128","0.00","6.44","02:26"
545762,"24.11","91.43",0,"1130","0.00","6.44","02:27"
545766,"24.14","91.41",0,"1130","0.00","6.44","02:28"
545770,"24.14","91.33",0,"1128","0.00","6.44","02:29"
545774,"24.16","91.25",0,"1129","0.00","6.44","02:30"
545778,"24.18","91.23",0,"1129","0.00","6.44","02:31"
545782,"24.20","91.29",0,"1130","0.00","6.44","02:32"
545786,"24.19","91.29",0,"1129","0.00","6.44","02:33"
545790,"24.22","91.35",0,"1129","0.00","6.44","02:34"
545794,"24.24","91.33",0,"1130","0.00","6.44","02:35"
545798,"24.22","91.35",0,"1128","0.00","6.44","02:36"
545802,"24.22","91.43",0,"1128","0.00","6.44","02:37"
545806,"24.20","91.48",0,"1129","0.00","6.44","02:38"
545810,"24.21","91.46",0,"1129","0.00","6.44","02:39"
545814,"24.20","91.56",0,"1131","0.00","6.44","02:40"
545818,"24.20","91.56",0,"1134","0.00","6.44","02:41"
545822,"24.18","91.56",0,"1135","0.00","6.44","02:42"
545826,"24.16","91.58",0,"1136","0.00","6.44","02:43"
545830,"24.16","91.66",0,"1136","0.00","6.44","02:44"
545834,"24.14","91.74",0,"1134","0.00","6.48","02:45"
545838,"24.14","91.74",0,"1137","0.00","6.44","02:46"
545842,"24.14","91.66",0,"1140","0.00","6.44","02:47"
545846,"24.15","91.50",0,"1139","0.00","6.44","02:48"
545850,"24.15","91.39",0,"1139","0.00","6.44","02:49"
545854,"24.16","91.39",0,"1139","0.00","6.44","02:50"
545858,"24.18","91.34",0,"1140","0.00","6.44","02:51"
545862,"24.16","91.28",0,"1143","0.00","6.44","02:52"
545866,"24.16","91.23",0,"1142","0.00","6.48","02:53"
545870,"24.17","91.20",0,"1141","0.00","6.44","02:54"
545874,"24.16","91.23",0,"1146","0.00","6.44","02:55"
545879,"24.16","91.23",0,"1149","0.00","6.44","02:56"
545882,"24.14","91.14",0,"1149","0.00","6.44","02:57"
545886,"24.11","91.16",0,"1151","0.00","6.44","02:58"
545890,"24.09","91.29",0,"1149","0.00","6.48","02:59"
545894,"24.06","91.37",0,"1151","0.00","6.48","03:00"
545898,"24.05","91.42",0,"1152","0.00","6.48","03:01"
545902,"24.03","91.41",0,"1156","0.00","6.48","03:02"
545906,"24.02","91.47",0,"1157","0.00","6.44","03:03"
545910,"24.00","91.46",0,"1157","0.00","6.48","03:04"
545914,"23.98","91.54",0,"1159","0.00","6.48","03:05"
545918,"23.96","91.61",0,"1161","0.00","6.44","03:06"
545922,"23.96","91.61",0,"1161","0.00","6.48","03:07"
545926,"23.93","91.61",0,"1164","0.00","6.44","03:08"
545930,"23.95","91.67",0,"1167","0.00","6.44","03:09"
545934,"23.95","91.61",0,"1168","0.00","6.48","03:10"
545938,"23.96","91.59",0,"1168","0.00","6.48","03:11"
545942,"23.94","91.56",0,"1169","0.00","6.48","03:12"
545946,"23.96","91.56",0,"1170","0.00","6.48","03:13"
545950,"23.96","91.56",0,"1170","0.00","6.48","03:14"
545954,"23.97","91.51",0,"1170","0.00","6.48","03:15"
545958,"23.94","91.53",0,"1168","0.00","6.48","03:16"
545962,"23.91","91.55",0,"1168","0.00","6.48","03:17"
545966,"23.89","91.62",0,"1170","0.00","6.48","03:18"
545970,"23.87","91.59",0,"1172","0.00","6.48","03:19"
545974,"23.85","91.67",0,"1174","0.00","6.44","03:20"
545978,"23.82","91.77",0,"1175","0.00","6.48","03:21"
545982,"23.80","91.90",0,"1173","0.00","6.48","03:22"
545987,"23.79","91.93",0,"1173","0.00","6.48","03:23"
545990,"23.76","91.89",0,"1173","0.00","6.48","03:24"
545994,"23.78","91.95",0,"1174","0.00","6.48","03:25"
545999,"23.77","91.98",0,"1174","0.00","6.48","03:26"
546002,"23.75","91.94",0,"1175","0.00","6.44","03:27"
546006,"23.77","91.95",0,"1175","0.00","6.48","03:28"
546011,"23.78","91.95",0,"1175","0.00","6.48","03:29"
546014,"23.78","91.90",0,"1174","0.00","6.48","03:30"
546018,"23.79","91.85",0,"1174","0.00","6.48","03:31"
546023,"23.80","91.79",0,"1176","0.00","6.48","03:32"
546026,"23.81","91.74",0,"1176","0.00","6.48","03:33"
546030,"23.80","91.71",0,"1176","0.00","6.48","03:34"
546035,"23.81","91.69",0,"1173","0.00","6.48","03:35"
546038,"23.80","91.68",0,"1175","0.00","6.48","03:36"
546042,"23.79","91.71",0,"1175","0.00","6.48","03:37"
546047,"23.78","91.65",0,"1174","0.00","6.48","03:38"
546051,"23.73","91.56",0,"1173","0.00","6.48","03:39"
546054,"23.71","91.66",0,"1174","0.00","6.48","03:40"
546059,"23.68","91.82",0,"1176","0.00","6.48","03:41"
546063,"23.67","91.87",0,"1178","0.00","6.48","03:42"
546066,"23.65","91.89",0,"1181","0.00","6.48","03:43"
546070,"23.64","91.94",0,"1182","0.00","6.48","03:44"
546075,"23.64","91.97",0,"1183","0.00","6.48","03:45"
546078,"23.64","91.97",0,"1184","0.00","6.48","03:46"
546082,"23.62","91.89",0,"1186","0.00","6.48","03:47"
546087,"23.64","91.86",0,"1188","0.00","6.48","03:48"
546090,"23.64","91.92",0,"1187","0.00","6.48","03:49"
546095,"23.66","91.92",0,"1191","0.00","6.48","03:50"
546099,"23.65","91.87",0,"1190","0.00","6.48","03:51"
546102,"23.66","91.81",0,"1189","0.00","6.48","03:52"
546107,"23.66","91.76",0,"1190","0.00","6.48","03:53"
546111,"23.66","91.76",0,"1190","0.00","6.48","03:54"
546115,"23.67","91.76",0,"1192","0.00","6.48","03:55"
546119,"23.64","91.81",0,"1195","0.00","6.48","03:56"
546123,"23.62","91.80",0,"1198","0.00","6.48","03:57"
546127,"23.60","91.80",0,"1197","0.00","6.48","03:58"
546131,"23.58","91.85",0,"1197","0.00","6.48","03:59"
546134,"23.57","91.90",0,"1197","0.00","6.48","04:00"
546139,"23.57","92.06",0,"1198","0.00","6.48","04:01"
546143,"23.56","92.11",0,"1197","0.00","6.48","04:02"
546146,"23.56","92.11",0,"1195","0.00","6.48","04:03"
546151,"23.56","92.17",0,"1198","0.00","6.48","04:04"
546155,"23.52","92.16",0,"1199","0.00","6.48","04:05"
546159,"23.53","92.22",0,"1197","0.00","6.48","04:06"
546163,"23.54","92.16",0,"1197","0.00","6.51","04:07"
546167,"23.54","92.16",0,"1196","0.00","6.48","04:08"
546171,"23.54","92.16",0,"1196","0.00","6.48","04:09"
546175,"23.55","92.17",0,"1197","0.00","6.48","04:10"
546179,"23.55","92.14",0,"1197","0.00","6.48","04:11"
546183,"23.55","92.11",0,"1197","0.00","6.48","04:12"
546187,"23.56","92.11",0,"1197","0.00","6.48","04:13"
546191,"23.55","92.11",0,"1197","0.00","6.51","04:14"
546195,"23.55","92.17",0,"1198","0.00","6.51","04:15"
546199,"23.55","92.30",0,"1198","0.00","6.51","04:16"
546203,"23.54","92.35",0,"1197","0.00","6.51","04:17"
546207,"23.54","92.33",0,"1197","0.00","6.48","04:18"
546211,"23.52","92.38",0,"1196","0.00","6.48","04:19"
546215,"23.51","92.54",0,"1197","0.00","6.51","04:20"
546219,"23.46","92.52",0,"1198","0.00","6.48","04:21"
546223,"23.48","92.64",0,"1200","0.00","6.48","04:22"
546227,"23.46","92.66",0,"1199","0.00","6.48","04:23"
546231,"23.46","92.74",0,"1200","0.00","6.51","04:24"
546235,"23.46","92.74",0,"1196","0.00","6.51","04:25"
546239,"23.46","92.71",0,"1196","0.00","6.51","04:26"
546243,"23.45","92.74",0,"1196","0.00","6.48","04:27"
546247,"23.46","92.74",0,"1196","0.00","6.48","04:28"
546251,"23.46","92.74",0,"1198","0.00","6.51","04:29"
546255,"23.48","92.69",0,"1197","0.00","6.48","04:30"
546259,"23.49","92.69",0,"1199","0.00","6.51","04:31"
546263,"23.49","92.69",0,"1199","0.00","6.51","04:32"
546267,"23.49","92.64",0,"1201","0.00","6.51","04:33"
546271,"23.51","92.65",0,"1202","0.00","6.51","04:34"
546275,"23.50","92.43",0,"1203","0.00","6.51","04:35"
546279,"23.48","91.91",0,"1202","0.00","6.48","04:36"
546283,"23.43","91.35",0,"1190","0.00","6.48","04:37"
546287,"23.38","90.93",0,"1133","0.00","6.48","04:38"
546291,"23.33","90.42",0,"1088","0.00","6.48","04:39"
546295,"23.28","90.19",0,"1091","0.00","6.48","04:40"
546299,"23.20","89.90",0,"1088","0.00","6.48","04:41"
546303,"23.13","89.97",0,"1060","0.00","6.48","04:42"
546307,"23.08","89.87",0,"1066","0.00","6.48","04:43"
546311,"23.04","89.48",0,"1061","0.00","6.48","04:44"
546315,"22.97","89.57",0,"1059","0.00","6.48","04:45"
546319,"22.94","89.40",0,"1036","0.00","6.48","04:46"
546323,"22.88","89.47",0,"1035","0.00","6.51","04:47"
546327,"22.86","89.05",0,"1077","0.00","6.48","04:48"
546331,"22.79","89.20",0,"1008","0.00","6.48","04:49"
546335,"22.74","89.46",0,"1011","0.00","6.48","04:50"
546339,"22.66","89.66",0,"1003","0.00","6.48","04:51"
546343,"22.61","89.87",0,"1029","0.00","6.51","04:52"
546347,"22.58","90.16",0,"1002","0.00","6.48","04:53"
546351,"22.54","90.29",0,"1050","0.00","6.51","04:54"
546355,"22.48","90.44",0,"1038","0.00","6.51","04:55"
546359,"22.44","90.59",0,"1039","0.00","6.51","04:56"
546363,"22.40","90.80",0,"1039","0.00","6.51","04:57"
546367,"22.38","90.90",0,"1039","0.00","6.51","04:58"
546371,"22.33","91.05",0,"1040","0.00","6.51","04:59"
546375,"22.30","91.21",0,"1038","0.00","6.48","05:00"
546379,"22.28","91.31",0,"1046","0.00","6.51","05:01"
546383,"22.25","91.47",0,"1039","0.00","6.48","05:02"
546387,"22.22","91.57",0,"977","0.00","6.51","05:03"
546391,"22.19","91.62",0,"980","0.00","6.51","05:04"
546395,"22.17","91.66",0,"990","0.00","6.51","05:05"
546399,"22.18","91.80",2.7,"1021","0.00","6.51","05:06"
546403,"22.15","91.66",5.4,"1031","0.00","6.51","05:07"
546407,"22.15","91.66",8.100000000000001,"1034","0.00","6.51","05:08"
546411,"22.14","91.49",8.100000000000001,"1034","0.00","6.51","05:09"
546415,"22.11","91.57",10.8,"1046","0.00","6.51","05:10"
546419,"22.10","91.59",13.5,"1019","0.00","6.51","05:11"
546423,"22.09","91.54",13.5,"1079","0.00","6.51","05:12"
546427,"22.08","91.56",18.900000000000002,"1047","0.00","6.51","05:13"
