"id","value","liquid","light","update_time"
1820318,"15605.62","61.34","0","00:00:00"
1820330,"15606.87","61.04","0","00:01:00"
1820342,"15606.14","63.57","0","00:02:00"
1820354,"15606.59","59.98","0","00:03:00"
1820366,"15607.46","59.96","0","00:04:00"
1820376,"15606.98","65.75","0","00:05:00"
"-","-","-","0","00:06"
"-","-","-","0","00:07"
"-","-","-","0","00:08"
"-","-","-","0","00:09"
"-","-","-","0","00:10"
"-","-","-","0","00:11"
"-","-","-","0","00:12"
"-","-","-","0","00:13"
"-","-","-","0","00:14"
"-","-","-","0","00:15"
"-","-","-","0","00:16"
"-","-","-","0","00:17"
"-","-","-","0","00:18"
"-","-","-","0","00:19"
1820398,"15602.09","61.63","0","00:20:00"
"-","-","-","0","00:21"
1820411,"15601.29","65.31","0","00:22:00"
1820419,"15604.23","63.19","0","00:23:00"
1820435,"15603.72","70.60","0","00:24:00"
1820448,"15603.58","59.93","0","00:25:00"
1820459,"15603.66","78.99","0","00:26:00"
1820471,"15603.75","88.38","0","00:27:00"
1820484,"15602.38","54.42","0","00:28:00"
1820498,"15602.48","60.66","0","00:29:00"
"-","-","-","0","00:30"
"-","-","-","0","00:31"
"-","-","-","0","00:32"
1820535,"15601.61","76.78","0","00:33:00"
1820543,"15601.00","78.63","0","00:34:00"
"-","-","-","0","00:35"
"-","-","-","0","00:36"
1820575,"15600.97","68.75","0","00:37:00"
1820586,"15599.99","47.69","0","00:38:00"
1820599,"15599.61","73.32","0","00:39:00"
1820611,"15599.19","85.11","0","00:40:00"
"-","-","-","0","00:41"
1820632,"15597.42","80.65","0","00:42:00"
1820640,"15599.09","78.39","0","00:43:00"
"-","-","-","0","00:44"
1820652,"15596.63","70.44","0","00:45:00"
1820662,"15597.45","73.34","0","00:46:00"
1820673,"15596.47","81.75","0","00:47:00"
1820685,"15596.65","74.21","0","00:48:00"
1820697,"15597.49","28.34","0","00:49:00"
1820709,"15597.72","57.16","0","00:50:00"
1820721,"15593.90","19.08","0","00:51:00"
"-","-","-","0","00:52"
"-","-","-","0","00:53"
"-","-","-","0","00:54"
"-","-","-","0","00:55"
"-","-","-","0","00:56"
1820773,"15593.53","68.74","0","00:57:00"
1820785,"15593.71","66.54","0","00:58:00"
1820797,"15593.13","63.02","0","00:59:00"
1820810,"15591.21","1.05","0","01:00:00"
1820821,"15590.20","2.68","0","01:01:00"
1820833,"15591.31","31.81","0","01:02:00"
1820845,"15588.46","40.59","0","01:03:00"
1820857,"15588.53","46.83","0","01:04:00"
1820869,"15591.62","56.15","0","01:05:00"
"-","-","-","0","01:06"
"-","-","-","0","01:07"
"-","-","-","0","01:08"
"-","-","-","0","01:09"
"-","-","-","0","01:10"
"-","-","-","0","01:11"
1820921,"15588.98","31.84","0","01:12:00"
1820933,"15586.66","5.26","0","01:13:00"
1820945,"15584.61","-19.03","0","01:14:00"
1820957,"15587.68","48.13","0","01:15:00"
1820969,"15586.12","43.07","0","01:16:00"
1820981,"15585.87","59.20","0","01:17:00"
1820994,"15586.88","41.05","0","01:18:00"
