"id","value","liquid","light","update_time"
2057652,"15210.06","243.00","0","00:00:00"
2057671,"15208.87","244.95","0","00:01:00"
2057686,"15205.21","243.86","0","00:02:00"
2057702,"15204.08","244.65","0","00:03:00"
2057714,"15208.33","241.24","0","00:04:00"
"-","-","-","0","00:05"
"-","-","-","0","00:06"
2057745,"15207.46","241.96","0","00:07:00"
2057756,"15204.59","239.62","0","00:08:00"
2057772,"15204.11","235.92","0","00:09:00"
2057787,"15200.96","234.51","0","00:10:00"
2057803,"15201.82","230.64","0","00:11:00"
2057820,"15201.90","231.98","0","00:12:00"
2057837,"15201.66","227.51","0","00:13:00"
2057854,"15203.32","229.74","0","00:14:00"
2057869,"15202.76","224.98","0","00:15:00"
"-","-","-","0","00:16"
"-","-","-","0","00:17"
"-","-","-","0","00:18"
"-","-","-","0","00:19"
2057924,"15204.84","229.06","0","00:20:00"
2057939,"15202.42","232.09","0","00:21:00"
2057955,"15202.63","235.10","0","00:22:00"
2057971,"15201.12","233.19","0","00:23:00"
2057986,"15204.11","231.60","0","00:24:00"
"-","-","-","0","00:25"
"-","-","-","0","00:26"
"-","-","-","0","00:27"
"-","-","-","0","00:28"
"-","-","-","0","00:29"
"-","-","-","0","00:30"
2058075,"15208.24","237.16","0","00:31:00"
2058088,"15209.58","241.54","0","00:32:00"
2058108,"15209.87","246.93","0","00:33:00"
2058126,"15208.48","242.62","0","00:34:00"
2058143,"15210.89","244.66","0","00:35:00"
2058157,"15209.98","237.57","0","00:36:00"
2058169,"15208.69","242.92","0","00:37:00"
2058182,"15210.27","249.52","0","00:38:00"
"-","-","-","0","00:39"
"-","-","-","0","00:40"
2058211,"15207.95","240.26","0","00:41:00"
2058228,"15208.25","246.88","0","00:42:00"
2058241,"15200.60","245.61","0","00:43:00"
2058258,"15202.47","250.55","0","00:44:00"
2058272,"15193.09","242.81","0","00:45:00"
2058287,"15188.18","232.08","0","00:46:00"
2058302,"15187.89","226.16","0","00:47:00"
"-","-","-","0","00:48"
2058321,"15186.85","227.19","0","00:49:00"
2058333,"15185.80","224.18","0","00:50:00"
2058348,"15183.94","224.36","0","00:51:00"
2058365,"15177.09","217.95","0","00:52:00"
2058379,"15180.87","220.66","0","00:53:00"
2058394,"15180.96","217.22","0","00:54:00"
2058411,"15181.94","220.18","0","00:55:00"
2058427,"15177.73","215.75","0","00:56:00"
2058442,"15180.35","218.73","0","00:57:00"
"-","-","-","0","00:58"
"-","-","-","0","00:59"
"-","-","-","0","01:00"
2058496,"15189.13","225.59","0","01:01:00"
2058509,"15193.65","223.40","0","01:02:00"
2058523,"15189.49","220.94","0","01:03:00"
2058540,"15191.67","236.94","0","01:04:00"
2058557,"15192.90","231.02","0","01:05:00"
"-","-","-","0","01:06"
"-","-","-","0","01:07"
"-","-","-","0","01:08"
2058603,"15195.57","234.67","0","01:09:00"
2058619,"15193.65","237.55","0","01:10:00"
2058635,"15197.65","240.95","0","01:11:00"
2058651,"15196.98","239.94","0","01:12:00"
2058666,"15194.44","242.39","0","01:13:00"
2058684,"15194.61","246.15","0","01:14:00"
"-","-","-","0","01:15"
"-","-","-","0","01:16"
"-","-","-","0","01:17"
2058732,"15192.86","236.78","0","01:18:00"
2058748,"15190.10","242.49","0","01:19:00"
2058762,"15189.70","243.91","0","01:20:00"
2058779,"15190.80","235.13","0","01:21:00"
2058792,"15185.90","232.51","0","01:22:00"
2058808,"15185.12","230.88","0","01:23:00"
2058824,"15181.74","232.14","0","01:24:00"
2058843,"15177.74","222.36","0","01:25:00"
"-","-","-","0","01:26"
"-","-","-","0","01:27"
2058875,"15166.55","207.41","0","01:28:00"
2058889,"15168.47","212.05","0","01:29:00"
2058903,"15166.85","209.23","0","01:30:00"
2058918,"15168.09","212.57","0","01:31:00"
2058932,"15172.30","215.13","0","01:32:00"
2058947,"15175.75","212.94","0","01:33:00"
2058962,"15167.47","215.85","0","01:34:00"
2058977,"15160.63","213.27","0","01:35:00"
"-","-","-","0","01:36"
"-","-","-","0","01:37"
"-","-","-","0","01:38"
"-","-","-","0","01:39"
"-","-","-","0","01:40"
2059061,"15161.21","214.34","0","01:41:00"
2059074,"15164.90","210.60","0","01:42:00"
2059092,"15163.40","218.81","0","01:43:00"
"-","-","-","0","01:44"
"-","-","-","0","01:45"
"-","-","-","0","01:46"
"-","-","-","0","01:47"
"-","-","-","0","01:48"
"-","-","-","0","01:49"
2059166,"15179.71","218.06","0","01:50:00"
2059183,"15180.40","224.71","0","01:51:00"
2059197,"15182.74","225.63","0","01:52:00"
2059212,"15179.60","222.06","0","01:53:00"
2059229,"15184.87","227.57","0","01:54:00"
2059241,"15180.12","222.58","0","01:55:00"
"-","-","-","0","01:56"
"-","-","-","0","01:57"
"-","-","-","0","01:58"
2059278,"15174.43","225.13","0","01:59:00"
2059294,"15176.55","222.97","0","02:00:00"
2059310,"15178.39","224.53","0","02:01:00"
2059326,"15182.07","223.79","0","02:02:00"
2059342,"15175.67","213.08","0","02:03:00"
2059360,"15164.05","216.82","0","02:04:00"
2059376,"15162.35","265.97","0","02:05:00"
2059393,"15163.74","264.49","0","02:06:00"
2059405,"15161.07","263.58","0","02:07:00"
2059421,"15163.71","265.45","0","02:08:00"
"-","-","-","0","02:09"
2059440,"15161.72","259.32","0","02:10:00"
2059453,"15161.05","258.91","0","02:11:00"
2059470,"15161.64","258.25","0","02:12:00"
2059487,"15160.69","253.11","0","02:13:00"
2059502,"15158.33","254.47","0","02:14:00"
2059519,"15151.79","255.21","0","02:15:00"
2059533,"15154.45","248.23","0","02:16:00"
2059547,"15157.08","256.01","0","02:17:00"
2059558,"15155.04","251.96","0","02:18:00"
2059575,"15154.00","252.17","0","02:19:00"
2059587,"15154.90","245.91","0","02:20:00"
2059601,"15149.01","246.42","0","02:21:00"
2059617,"15155.25","245.02","0","02:22:00"
