"id","value","liquid","light","update_time"
2159695,"0.00","35.50","0","00:00:00"
2159713,"0.00","35.25","0","00:01:00"
2159735,"0.00","34.19","0","00:02:00"
2159756,"0.00","34.30","0","00:03:00"
2159783,"0.00","34.09","0","00:04:00"
2159809,"0.00","33.68","0","00:05:00"
2159830,"0.00","33.74","0","00:06:00"
2159854,"0.00","34.49","0","00:07:00"
2159875,"0.00","34.70","0","00:08:00"
2159900,"0.00","33.97","0","00:09:00"
2159925,"0.00","34.33","0","00:10:00"
2159947,"0.00","34.58","0","00:11:00"
2159973,"0.00","34.29","0","00:12:00"
"-","-","-","0","00:13"
2160020,"0.00","34.82","0","00:14:00"
2160045,"0.00","35.01","0","00:15:00"
2160068,"0.00","35.14","0","00:16:00"
2160095,"0.00","35.19","0","00:17:00"
2160120,"0.00","35.44","0","00:18:00"
2160139,"0.00","34.72","0","00:19:00"
2160161,"0.00","35.01","0","00:20:00"
2160178,"0.00","34.20","0","00:21:00"
2160204,"0.00","35.50","0","00:22:00"
2160231,"0.00","34.95","0","00:23:00"
2160255,"0.00","35.28","0","00:24:00"
2160282,"0.00","35.49","0","00:25:00"
2160307,"0.00","35.17","0","00:26:00"
2160326,"0.00","34.70","0","00:27:00"
2160353,"0.00","34.63","0","00:28:00"
2160377,"0.00","35.63","0","00:29:00"
2160395,"0.00","35.39","0","00:30:00"
2160414,"0.00","34.68","0","00:31:00"
2160436,"0.00","34.02","0","00:32:00"
2160459,"0.00","34.81","0","00:33:00"
2160484,"0.00","34.15","0","00:34:00"
2160506,"0.00","34.51","0","00:35:00"
2160531,"0.00","34.81","0","00:36:00"
2160556,"0.00","35.27","0","00:37:00"
"-","-","-","0","00:38"
2160596,"0.00","34.55","0","00:39:00"
2160615,"0.00","35.19","0","00:40:00"
2160634,"0.00","34.63","0","00:41:00"
2160654,"0.00","35.45","0","00:42:00"
2160679,"0.00","35.42","0","00:43:00"
2160699,"0.00","35.03","0","00:44:00"
2160727,"0.00","34.97","0","00:45:00"
2160747,"0.00","34.77","0","00:46:00"
2160773,"0.00","36.15","0","00:47:00"
2160798,"0.00","36.07","0","00:48:00"
2160815,"0.00","35.66","0","00:49:00"
2160837,"0.00","35.87","0","00:50:00"
2160864,"0.00","35.70","0","00:51:00"
2160887,"0.00","36.29","0","00:52:00"
2160911,"0.00","36.69","0","00:53:00"
"-","-","-","0","00:54"
2160946,"0.00","35.48","0","00:55:00"
2160966,"0.00","35.50","0","00:56:00"
2160988,"0.00","35.75","0","00:57:00"
2161012,"0.00","34.61","0","00:58:00"
2161040,"0.00","35.00","0","00:59:00"
2161062,"0.00","34.55","0","01:00:00"
2161089,"0.00","35.97","0","01:01:00"
2161111,"0.00","35.63","0","01:02:00"
2161127,"0.00","34.64","0","01:03:00"
2161152,"0.00","35.39","0","01:04:00"
2161176,"0.00","35.18","0","01:05:00"
2161201,"0.00","35.24","0","01:06:00"
2161227,"0.00","35.27","0","01:07:00"
2161247,"0.00","34.59","0","01:08:00"
2161264,"0.00","34.21","0","01:09:00"
2161284,"0.00","34.08","0","01:10:00"
2161309,"0.00","34.35","0","01:11:00"
2161329,"0.00","34.75","0","01:12:00"
2161354,"0.00","35.04","0","01:13:00"
"-","-","-","0","01:14"
2161402,"0.00","34.86","0","01:15:00"
2161429,"0.00","34.27","0","01:16:00"
2161450,"0.00","34.20","0","01:17:00"
2161475,"0.00","33.93","0","01:18:00"
2161501,"0.00","34.23","0","01:19:00"
2161524,"0.00","34.97","0","01:20:00"
2161551,"0.00","35.32","0","01:21:00"
2161577,"0.00","34.81","0","01:22:00"
2161594,"0.00","34.27","0","01:23:00"
2161621,"0.00","34.92","0","01:24:00"
2161644,"0.00","34.83","0","01:25:00"
2161670,"0.00","35.63","0","01:26:00"
2161694,"0.00","35.42","0","01:27:00"
2161716,"0.00","36.00","0","01:28:00"
2161741,"0.00","35.94","0","01:29:00"
2161768,"0.00","36.12","0","01:30:00"
2161792,"0.00","36.24","0","01:31:00"
2161815,"0.00","35.45","0","01:32:00"
2161841,"0.00","36.33","0","01:33:00"
2161861,"0.00","35.89","0","01:34:00"
2161882,"0.00","36.03","0","01:35:00"
2161901,"0.00","36.15","0","01:36:00"
2161920,"0.00","35.92","0","01:37:00"
2161940,"0.00","36.04","0","01:38:00"
2161960,"0.00","36.03","0","01:39:00"
2161980,"0.00","36.76","0","01:40:00"
2162004,"0.00","36.80","0","01:41:00"
2162027,"0.00","36.57","0","01:42:00"
2162053,"0.00","36.10","0","01:43:00"
2162078,"0.00","36.24","0","01:44:00"
2162099,"0.00","36.41","0","01:45:00"
2162122,"0.00","36.52","0","01:46:00"
2162145,"0.00","36.66","0","01:47:00"
2162166,"0.00","37.06","0","01:48:00"
2162184,"0.00","37.00","0","01:49:00"
"-","-","-","0","01:50"
2162222,"0.00","37.00","0","01:51:00"
2162247,"0.00","36.52","0","01:52:00"
2162268,"0.00","36.61","0","01:53:00"
2162292,"0.00","36.75","0","01:54:00"
2162320,"0.00","37.52","0","01:55:00"
2162342,"0.00","37.11","0","01:56:00"
2162368,"0.00","36.56","0","01:57:00"
"-","-","-","0","01:58"
2162415,"0.00","36.64","0","01:59:00"
2162438,"0.00","37.20","0","02:00:00"
2162455,"0.00","37.06","0","02:01:00"
2162473,"0.00","36.98","0","02:02:00"
2162492,"0.00","37.51","-","02:03:00"
2162515,"0.00","37.35","0","02:04:00"
2162537,"0.00","37.71","0","02:05:00"
2162558,"0.00","37.49","0","02:06:00"
2162582,"0.00","37.89","0","02:07:00"
2162608,"0.00","37.79","0","02:08:00"
2162629,"0.00","37.88","0","02:09:00"
2162654,"0.00","37.24","0","02:10:00"
2162680,"0.00","37.19","0","02:11:00"
2162704,"0.00","37.32","0","02:12:00"
2162730,"0.00","37.54","0","02:13:00"
"-","-","-","0","02:14"
2162769,"0.00","36.58","0","02:15:00"
2162789,"0.00","36.67","0","02:16:00"
2162807,"0.00","37.15","0","02:17:00"
2162827,"0.00","36.57","0","02:18:00"
2162847,"0.00","36.60","0","02:19:00"
2162868,"0.00","36.89","0","02:20:00"
2162893,"0.00","35.98","0","02:21:00"
2162920,"0.00","36.21","0","02:22:00"
2162939,"0.00","37.21","0","02:23:00"
2162966,"0.00","36.71","0","02:24:00"
2162993,"0.00","36.45","0","02:25:00"
2163012,"0.00","36.78","0","02:26:00"
2163035,"0.00","37.02","0","02:27:00"
2163062,"0.00","36.62","0","02:28:00"
2163082,"0.00","37.59","0","02:29:00"
2163103,"0.00","37.66","0","02:30:00"
"-","-","-","0","02:31"
2163149,"0.00","37.13","0","02:32:00"
2163171,"0.00","37.23","0","02:33:00"
"-","-","-","0","02:34"
2163209,"0.00","37.78","0","02:35:00"
2163226,"0.00","37.62","0","02:36:00"
"-","-","-","0","02:37"
2163272,"0.00","37.82","0","02:38:00"
2163298,"0.00","37.57","0","02:39:00"
2163319,"0.00","37.44","0","02:40:00"
2163346,"0.00","37.22","0","02:41:00"
2163371,"0.00","37.90","0","02:42:00"
2163390,"0.00","37.52","0","02:43:00"
2163415,"0.00","37.47","0","02:44:00"
2163436,"0.00","37.29","0","02:45:00"
2163455,"0.00","37.26","0","02:46:00"
2163480,"0.00","36.89","0","02:47:00"
2163504,"0.00","38.02","0","02:48:00"
2163524,"0.00","37.24","0","02:49:00"
2163549,"0.00","38.04","0","02:50:00"
2163575,"0.00","37.91","0","02:51:00"
2163598,"0.00","37.62","0","02:52:00"
2163622,"0.00","38.08","0","02:53:00"
2163642,"0.00","38.12","0","02:54:00"
2163665,"0.00","38.22","0","02:55:00"
2163687,"0.00","37.74","0","02:56:00"
2163705,"0.00","38.44","0","02:57:00"
